"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260281.4",10.0629801768207,1.49678550629506,0.347641582092769,4.30554221185093,1.66577221509414e-05,0.00426062301776191
"ENSG00000279588.1",2.7754645355329,3.31031674123965,0.770438197109717,4.29666747269052,1.73384987099575e-05,0.00440373617584376
"ENSG00000183770.5",12.1342231583655,-3.7220497015363,0.867240136959356,-4.29183284180808,1.77204330722244e-05,0.00445834595953011
"ENSG00000129437.8",41.1396595005537,-2.08864821418345,0.486767885587877,-4.2908504772474,1.77990133296218e-05,0.00445834595953011
"ENSG00000120210.6",8.19854668058436,3.39902408566218,0.793908749322461,4.28137879644605,1.85738879026309e-05,0.00462057266180518
"ENSG00000235258.1",4.80989708758909,3.31355770429277,0.774983396620152,4.2756499284292,1.90580492692611e-05,0.00470876428203785
"ENSG00000234915.1",3.85753012581627,3.82061490358693,0.894317501380218,4.27210123663073,1.93639623603916e-05,0.00475202103330691
"ENSG00000260725.1",1.86912070543741,3.55228389881952,0.832060380416136,4.26926216225189,1.96120648640633e-05,0.00475822477002569
"ENSG00000007306.13",214.511771253873,-2.689472739131,0.630027679719576,-4.26881679282421,1.96512586867801e-05,0.00475822477002569
"ENSG00000242522.1",3.36576567661745,3.44495564290277,0.80884388890052,4.25911067658009,2.05241835713428e-05,0.00493667779676271
"ENSG00000233334.3",13.0170443365317,3.28256121858234,0.772242003783163,4.25068981291005,2.13113141004977e-05,0.00509228242190839
"ENSG00000236318.1",124.667896870395,2.53963364277923,0.598082958817954,4.24628992572961,2.17339363584578e-05,0.00515932397738031
"ENSG00000218336.6",429.593879257352,1.67374516453574,0.394458967151411,4.24314137569923,2.2041248136493e-05,0.00516113779517432
"ENSG00000232518.2",4.69710842988151,3.23469815817343,0.76239728755788,4.24279861820449,2.20749512424074e-05,0.00516113779517432
"ENSG00000153132.11",331.64153479491,-1.86760520761684,0.440621273437675,-4.2385724888996,2.2494555229257e-05,0.00516113779517432
"ENSG00000204121.2",11.2723529239961,2.83021714434625,0.667825280469483,4.23796047726226,2.25559462816399e-05,0.00516113779517432
"ENSG00000175170.13",58.1013286198599,-2.03527913298458,0.480250053136059,-4.23795712190784,2.25562832972378e-05,0.00516113779517432
"ENSG00000198848.11",6858.10416802413,-2.13192406950416,0.503099421759904,-4.23758004341652,2.25941880350417e-05,0.00516113779517432
"ENSG00000278979.1",8.72542422506129,2.39689976030151,0.566432997125046,4.23156802740497,2.3206778242379e-05,0.00526793866102003
"ENSG00000229989.3",32.963079535775,3.17274544292978,0.751241150748848,4.22333819142781,2.40710204009743e-05,0.00537754401364788
"ENSG00000281903.1",18.451615914728,1.9106516651659,0.452403908877721,4.22333146922992,2.40717386783627e-05,0.00537754401364788
"ENSG00000107984.8",572.470479770615,-2.46816171311392,0.58449136718513,-4.22275135559387,2.41338016031003e-05,0.00537754401364788
"ENSG00000184571.12",8.21075109255553,4.73780200307346,1.12408335176712,4.21481378193652,2.49984368741137e-05,0.00545066551617323
